Year,Platform Blockages,Network Shutdowns,Internet Blackouts,Internet Slowdowns,Total Shutdown Incidents , Number of Days 
2005,3,0,1,1,5,17
2006,4,0,1,1,6,21
2007,3,0,1,1,5,19
2008,3,1,3,3,10,18
2009,5,2,2,4,13,21
2010,6,3,3,4,16,24
2011,5,4,4,6,19,27
2012,11,4,4,8,27,35
2013,12,4,3,6,25,37
2014,13,3,4,7,27,43
2015,15,4,7,9,35,56
2016,19,7,5,11,42,58
2017,21,8,5,12,46,57
2018,18,6,7,14,45,65
2019,11,5,6,13,35,64
2020,15,11,8,14,48,68
2021,14,12,7,13,46,73
2022,15,13,9,15,52,289
2023,15,14,7,18,54,311
2024,12,14,3,19,48,347
,220,115,90,179,604,1650